"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get file","LMS service","Thu Mar 26 17:43:49 UTC 2026","passed","Thu Mar 26 17:43:49 UTC 2026","Get entity","Files","",""
"","561","Create user","LMS service","Thu Mar 26 17:43:51 UTC 2026","passed","Thu Mar 26 17:43:51 UTC 2026","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Thu Mar 26 17:43:42 UTC 2026","passed","Thu Mar 26 17:43:42 UTC 2026","Login","Authentication","",""
"","17","Delete exercise","LMS service","Thu Mar 26 17:43:47 UTC 2026","passed","Thu Mar 26 17:43:47 UTC 2026","Delete entity","Exercises","",""
"","562","Create user","LMS service","Thu Mar 26 17:43:51 UTC 2026","passed","Thu Mar 26 17:43:51 UTC 2026","Create entity","Users","",""
"","18","Update exercise","LMS service","Thu Mar 26 17:43:45 UTC 2026","passed","Thu Mar 26 17:43:45 UTC 2026","Update entity","Exercises","",""
"","293","Delete file","LMS service","Thu Mar 26 17:43:50 UTC 2026","passed","Thu Mar 26 17:43:50 UTC 2026","Delete entity","Files","",""
"","32","Create file with empty name","LMS service","Thu Mar 26 17:43:49 UTC 2026","passed","Thu Mar 26 17:43:49 UTC 2026","Validate entity","Files","",""
"","28","Create course","LMS service","Thu Mar 26 17:43:44 UTC 2026","passed","Thu Mar 26 17:43:44 UTC 2026","Create entity","Courses","",""
"","299","Get course","LMS service","Thu Mar 26 17:43:43 UTC 2026","passed","Thu Mar 26 17:43:43 UTC 2026","Get entity","Courses","",""
"","30","Update course","LMS service","Thu Mar 26 17:43:43 UTC 2026","passed","Thu Mar 26 17:43:44 UTC 2026","Update entity","Courses","",""
"","273","Create file with empty directory","LMS service","Thu Mar 26 17:43:50 UTC 2026","passed","Thu Mar 26 17:43:50 UTC 2026","Validate entity","Files","",""
"","290","Get exercise","LMS service","Thu Mar 26 17:43:46 UTC 2026","passed","Thu Mar 26 17:43:46 UTC 2026","Get entity","Exercises","",""
"","294","Create exercise","LMS service","Thu Mar 26 17:43:45 UTC 2026","passed","Thu Mar 26 17:43:45 UTC 2026","Create entity","Exercises","",""
"","12","Get user me","LMS service","Thu Mar 26 17:43:52 UTC 2026","passed","Thu Mar 26 17:43:52 UTC 2026","Get entity","Users","",""
"","550","Create user","LMS service","Thu Mar 26 17:43:50 UTC 2026","passed","Thu Mar 26 17:43:51 UTC 2026","Create entity","Users","",""
"","34","Create file","LMS service","Thu Mar 26 17:43:47 UTC 2026","passed","Thu Mar 26 17:43:48 UTC 2026","Create entity","Files","",""
"","257","Get file with incorrect file id","LMS service","Thu Mar 26 17:43:50 UTC 2026","passed","Thu Mar 26 17:43:51 UTC 2026","Validate entity","Files","",""
"","286","Get exercises","LMS service","Thu Mar 26 17:43:47 UTC 2026","passed","Thu Mar 26 17:43:47 UTC 2026","Get entities","Exercises","",""
