"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Create file","LMS service","Thu Mar 26 18:41:40 UTC 2026","passed","Thu Mar 26 18:41:40 UTC 2026","Create entity","Files","",""
"","314","Get course","LMS service","Thu Mar 26 18:41:36 UTC 2026","passed","Thu Mar 26 18:41:36 UTC 2026","Get entity","Courses","",""
"","33","Update course","LMS service","Thu Mar 26 18:41:36 UTC 2026","passed","Thu Mar 26 18:41:36 UTC 2026","Update entity","Courses","",""
"","36","Create file with empty name","LMS service","Thu Mar 26 18:41:42 UTC 2026","passed","Thu Mar 26 18:41:42 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Thu Mar 26 18:41:45 UTC 2026","passed","Thu Mar 26 18:41:45 UTC 2026","Get entity","Users","",""
"","18","Update exercise","LMS service","Thu Mar 26 18:41:38 UTC 2026","passed","Thu Mar 26 18:41:38 UTC 2026","Update entity","Exercises","",""
"","283","Get exercises","LMS service","Thu Mar 26 18:41:40 UTC 2026","passed","Thu Mar 26 18:41:40 UTC 2026","Get entities","Exercises","",""
"","557","Login with correct email and password","LMS service","Thu Mar 26 18:41:35 UTC 2026","passed","Thu Mar 26 18:41:35 UTC 2026","Login","Authentication","",""
"","293","Delete file","LMS service","Thu Mar 26 18:41:43 UTC 2026","passed","Thu Mar 26 18:41:43 UTC 2026","Delete entity","Files","",""
"","287","Get exercise","LMS service","Thu Mar 26 18:41:39 UTC 2026","passed","Thu Mar 26 18:41:39 UTC 2026","Get entity","Exercises","",""
"","560","Create user","LMS service","Thu Mar 26 18:41:44 UTC 2026","passed","Thu Mar 26 18:41:44 UTC 2026","Create entity","Users","",""
"","15","Get file","LMS service","Thu Mar 26 18:41:41 UTC 2026","passed","Thu Mar 26 18:41:42 UTC 2026","Get entity","Files","",""
"","559","Create user","LMS service","Thu Mar 26 18:41:44 UTC 2026","passed","Thu Mar 26 18:41:44 UTC 2026","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Thu Mar 26 18:41:42 UTC 2026","passed","Thu Mar 26 18:41:43 UTC 2026","Validate entity","Files","",""
"","557","Create user","LMS service","Thu Mar 26 18:41:43 UTC 2026","passed","Thu Mar 26 18:41:44 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Thu Mar 26 18:41:39 UTC 2026","passed","Thu Mar 26 18:41:39 UTC 2026","Delete entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Thu Mar 26 18:41:43 UTC 2026","passed","Thu Mar 26 18:41:44 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Thu Mar 26 18:41:38 UTC 2026","passed","Thu Mar 26 18:41:38 UTC 2026","Create entity","Exercises","",""
"","28","Create course","LMS service","Thu Mar 26 18:41:37 UTC 2026","passed","Thu Mar 26 18:41:37 UTC 2026","Create entity","Courses","",""
