"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Create course","LMS service","Thu Mar 26 17:57:43 UTC 2026","passed","Thu Mar 26 17:57:43 UTC 2026","Create entity","Courses","",""
"","309","Create file with empty directory","LMS service","Thu Mar 26 17:57:48 UTC 2026","passed","Thu Mar 26 17:57:49 UTC 2026","Validate entity","Files","",""
"","21","Update exercise","LMS service","Thu Mar 26 17:57:44 UTC 2026","passed","Thu Mar 26 17:57:44 UTC 2026","Update entity","Exercises","",""
"","591","Create user","LMS service","Thu Mar 26 17:57:49 UTC 2026","passed","Thu Mar 26 17:57:50 UTC 2026","Create entity","Users","",""
"","318","Login with correct email and password","LMS service","Thu Mar 26 17:57:40 UTC 2026","passed","Thu Mar 26 17:57:40 UTC 2026","Login","Authentication","",""
"","12","Get user me","LMS service","Thu Mar 26 17:57:51 UTC 2026","passed","Thu Mar 26 17:57:51 UTC 2026","Get entity","Users","",""
"","338","Get course","LMS service","Thu Mar 26 17:57:41 UTC 2026","passed","Thu Mar 26 17:57:41 UTC 2026","Get entity","Courses","",""
"","305","Create file","LMS service","Thu Mar 26 17:57:46 UTC 2026","passed","Thu Mar 26 17:57:47 UTC 2026","Create entity","Files","",""
"","28","Update course","LMS service","Thu Mar 26 17:57:42 UTC 2026","passed","Thu Mar 26 17:57:42 UTC 2026","Update entity","Courses","",""
"","628","Create user","LMS service","Thu Mar 26 17:57:50 UTC 2026","passed","Thu Mar 26 17:57:51 UTC 2026","Create entity","Users","",""
"","299","Create file with empty name","LMS service","Thu Mar 26 17:57:48 UTC 2026","passed","Thu Mar 26 17:57:48 UTC 2026","Validate entity","Files","",""
"","296","Get file with incorrect file id","LMS service","Thu Mar 26 17:57:50 UTC 2026","passed","Thu Mar 26 17:57:50 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Mar 26 17:57:47 UTC 2026","passed","Thu Mar 26 17:57:47 UTC 2026","Get entity","Files","",""
"","326","Delete exercise","LMS service","Thu Mar 26 17:57:45 UTC 2026","passed","Thu Mar 26 17:57:46 UTC 2026","Delete entity","Exercises","",""
"","21","Delete file","LMS service","Thu Mar 26 17:57:49 UTC 2026","passed","Thu Mar 26 17:57:49 UTC 2026","Delete entity","Files","",""
"","325","Get exercise","LMS service","Thu Mar 26 17:57:45 UTC 2026","passed","Thu Mar 26 17:57:45 UTC 2026","Get entity","Exercises","",""
"","629","Create user","LMS service","Thu Mar 26 17:57:50 UTC 2026","passed","Thu Mar 26 17:57:51 UTC 2026","Create entity","Users","",""
"","14","Get exercises","LMS service","Thu Mar 26 17:57:46 UTC 2026","passed","Thu Mar 26 17:57:46 UTC 2026","Get entities","Exercises","",""
"","326","Create exercise","LMS service","Thu Mar 26 17:57:43 UTC 2026","passed","Thu Mar 26 17:57:44 UTC 2026","Create entity","Exercises","",""
