"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Update course","LMS service","Sun Mar 22 13:44:39 UTC 2026","passed","Sun Mar 22 13:44:39 UTC 2026","Update entity","Courses","",""
"","567","Create user","LMS service","Sun Mar 22 13:44:46 UTC 2026","passed","Sun Mar 22 13:44:46 UTC 2026","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","Sun Mar 22 13:44:46 UTC 2026","passed","Sun Mar 22 13:44:46 UTC 2026","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Sun Mar 22 13:44:37 UTC 2026","passed","Sun Mar 22 13:44:37 UTC 2026","Login","Authentication","",""
"","22","Update exercise","LMS service","Sun Mar 22 13:44:41 UTC 2026","passed","Sun Mar 22 13:44:41 UTC 2026","Update entity","Exercises","",""
"","299","Get course","LMS service","Sun Mar 22 13:44:38 UTC 2026","passed","Sun Mar 22 13:44:38 UTC 2026","Get entity","Courses","",""
"","40","Create file with empty directory","LMS service","Sun Mar 22 13:44:44 UTC 2026","passed","Sun Mar 22 13:44:44 UTC 2026","Validate entity","Files","",""
"","20","Get exercises","LMS service","Sun Mar 22 13:44:42 UTC 2026","passed","Sun Mar 22 13:44:42 UTC 2026","Get entities","Exercises","",""
"","33","Create course","LMS service","Sun Mar 22 13:44:39 UTC 2026","passed","Sun Mar 22 13:44:39 UTC 2026","Create entity","Courses","",""
"","269","Create file with empty name","LMS service","Sun Mar 22 13:44:44 UTC 2026","passed","Sun Mar 22 13:44:44 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Sun Mar 22 13:44:43 UTC 2026","passed","Sun Mar 22 13:44:43 UTC 2026","Get entity","Files","",""
"","95","Delete exercise","LMS service","Sun Mar 22 13:44:42 UTC 2026","passed","Sun Mar 22 13:44:42 UTC 2026","Delete entity","Exercises","",""
"","525","Create user","LMS service","Sun Mar 22 13:44:46 UTC 2026","passed","Sun Mar 22 13:44:46 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sun Mar 22 13:44:47 UTC 2026","passed","Sun Mar 22 13:44:47 UTC 2026","Get entity","Users","",""
"","290","Create user","LMS service","Sun Mar 22 13:44:46 UTC 2026","passed","Sun Mar 22 13:44:46 UTC 2026","Create entity","Users","",""
"","21","Get exercise","LMS service","Sun Mar 22 13:44:41 UTC 2026","passed","Sun Mar 22 13:44:41 UTC 2026","Get entity","Exercises","",""
"","276","Create file","LMS service","Sun Mar 22 13:44:43 UTC 2026","passed","Sun Mar 22 13:44:43 UTC 2026","Create entity","Files","",""
"","23","Create exercise","LMS service","Sun Mar 22 13:44:40 UTC 2026","passed","Sun Mar 22 13:44:40 UTC 2026","Create entity","Exercises","",""
"","20","Delete file","LMS service","Sun Mar 22 13:44:46 UTC 2026","passed","Sun Mar 22 13:44:46 UTC 2026","Delete entity","Files","",""
