"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create exercise","LMS service","Sun Mar 22 16:24:51 UTC 2026","passed","Sun Mar 22 16:24:51 UTC 2026","Create entity","Exercises","",""
"","273","Create file with empty directory","LMS service","Sun Mar 22 16:24:55 UTC 2026","passed","Sun Mar 22 16:24:56 UTC 2026","Validate entity","Files","",""
"","13","Get user me","LMS service","Sun Mar 22 16:24:58 UTC 2026","passed","Sun Mar 22 16:24:58 UTC 2026","Get entity","Users","",""
"","263","Get file with incorrect file id","LMS service","Sun Mar 22 16:24:56 UTC 2026","passed","Sun Mar 22 16:24:57 UTC 2026","Validate entity","Files","",""
"","17","Get exercises","LMS service","Sun Mar 22 16:24:53 UTC 2026","passed","Sun Mar 22 16:24:53 UTC 2026","Get entities","Exercises","",""
"","23","Update exercise","LMS service","Sun Mar 22 16:24:52 UTC 2026","passed","Sun Mar 22 16:24:52 UTC 2026","Update entity","Exercises","",""
"","15","Get file","LMS service","Sun Mar 22 16:24:54 UTC 2026","passed","Sun Mar 22 16:24:54 UTC 2026","Get entity","Files","",""
"","301","Get course","LMS service","Sun Mar 22 16:24:49 UTC 2026","passed","Sun Mar 22 16:24:49 UTC 2026","Get entity","Courses","",""
"","289","Delete exercise","LMS service","Sun Mar 22 16:24:53 UTC 2026","passed","Sun Mar 22 16:24:53 UTC 2026","Delete entity","Exercises","",""
"","308","Update course","LMS service","Sun Mar 22 16:24:49 UTC 2026","passed","Sun Mar 22 16:24:50 UTC 2026","Update entity","Courses","",""
"","21","Get exercise","LMS service","Sun Mar 22 16:24:52 UTC 2026","passed","Sun Mar 22 16:24:52 UTC 2026","Get entity","Exercises","",""
"","23","Delete file","LMS service","Sun Mar 22 16:24:56 UTC 2026","passed","Sun Mar 22 16:24:56 UTC 2026","Delete entity","Files","",""
"","268","Create file with empty name","LMS service","Sun Mar 22 16:24:55 UTC 2026","passed","Sun Mar 22 16:24:55 UTC 2026","Validate entity","Files","",""
"","557","Login with correct email and password","LMS service","Sun Mar 22 16:24:48 UTC 2026","passed","Sun Mar 22 16:24:49 UTC 2026","Login","Authentication","",""
"","307","Create course","LMS service","Sun Mar 22 16:24:50 UTC 2026","passed","Sun Mar 22 16:24:50 UTC 2026","Create entity","Courses","",""
"","560","Create user","LMS service","Sun Mar 22 16:24:57 UTC 2026","passed","Sun Mar 22 16:24:57 UTC 2026","Create entity","Users","",""
"","527","Create user","LMS service","Sun Mar 22 16:24:56 UTC 2026","passed","Sun Mar 22 16:24:57 UTC 2026","Create entity","Users","",""
"","561","Create user","LMS service","Sun Mar 22 16:24:57 UTC 2026","passed","Sun Mar 22 16:24:57 UTC 2026","Create entity","Users","",""
"","272","Create file","LMS service","Sun Mar 22 16:24:54 UTC 2026","passed","Sun Mar 22 16:24:54 UTC 2026","Create entity","Files","",""
