"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS service","Thu Mar 26 18:46:56 UTC 2026","passed","Thu Mar 26 18:46:56 UTC 2026","Get entity","Files","",""
"","20","Delete exercise","LMS service","Thu Mar 26 18:46:55 UTC 2026","passed","Thu Mar 26 18:46:55 UTC 2026","Delete entity","Exercises","",""
"","20","Delete file","LMS service","Thu Mar 26 18:46:58 UTC 2026","passed","Thu Mar 26 18:46:58 UTC 2026","Delete entity","Files","",""
"","269","Create file with empty name","LMS service","Thu Mar 26 18:46:56 UTC 2026","passed","Thu Mar 26 18:46:57 UTC 2026","Validate entity","Files","",""
"","540","Create user","LMS service","Thu Mar 26 18:46:58 UTC 2026","passed","Thu Mar 26 18:46:58 UTC 2026","Create entity","Users","",""
"","28","Create exercise","LMS service","Thu Mar 26 18:46:52 UTC 2026","passed","Thu Mar 26 18:46:52 UTC 2026","Create entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Thu Mar 26 18:46:50 UTC 2026","passed","Thu Mar 26 18:46:50 UTC 2026","Login","Authentication","",""
"","560","Create user","LMS service","Thu Mar 26 18:46:59 UTC 2026","passed","Thu Mar 26 18:46:59 UTC 2026","Create entity","Users","",""
"","18","Get exercise","LMS service","Thu Mar 26 18:46:54 UTC 2026","passed","Thu Mar 26 18:46:54 UTC 2026","Get entity","Exercises","",""
"","274","Create file","LMS service","Thu Mar 26 18:46:55 UTC 2026","passed","Thu Mar 26 18:46:56 UTC 2026","Create entity","Files","",""
"","17","Get exercises","LMS service","Thu Mar 26 18:46:55 UTC 2026","passed","Thu Mar 26 18:46:55 UTC 2026","Get entities","Exercises","",""
"","566","Create user","LMS service","Thu Mar 26 18:46:59 UTC 2026","passed","Thu Mar 26 18:46:59 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Thu Mar 26 18:47:00 UTC 2026","passed","Thu Mar 26 18:47:00 UTC 2026","Get entity","Users","",""
"","32","Get course","LMS service","Thu Mar 26 18:46:51 UTC 2026","passed","Thu Mar 26 18:46:51 UTC 2026","Get entity","Courses","",""
"","289","Update exercise","LMS service","Thu Mar 26 18:46:53 UTC 2026","passed","Thu Mar 26 18:46:53 UTC 2026","Update entity","Exercises","",""
"","301","Create course","LMS service","Thu Mar 26 18:46:52 UTC 2026","passed","Thu Mar 26 18:46:52 UTC 2026","Create entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Thu Mar 26 18:46:58 UTC 2026","passed","Thu Mar 26 18:46:58 UTC 2026","Validate entity","Files","",""
"","270","Create file with empty directory","LMS service","Thu Mar 26 18:46:57 UTC 2026","passed","Thu Mar 26 18:46:57 UTC 2026","Validate entity","Files","",""
"","305","Update course","LMS service","Thu Mar 26 18:46:51 UTC 2026","passed","Thu Mar 26 18:46:52 UTC 2026","Update entity","Courses","",""
